id,name,active,make_id,created_at,updated_at
183,Silverado,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
184,Sonic,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
185,Spark,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
187,Suburban,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
19,GTV,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
190,T-Series,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
191,Tahoe,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
193,TrailBlazer,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
194,Traverse,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
195,Trax,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
196,Uplander,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
199,200,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
20,MiTo,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
201,300,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
205,Crossfire,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
206,Grand Voyager,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
208,PT Cruiser,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
209,Sebring,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
21,Spider,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
212,C-Elysee,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
213,C2,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
214,C3,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
215,C4,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
216,C4 Picasso,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
217,C5,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
218,C8,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
219,DS3,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
22,DB7,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
220,DS4,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
221,Saxo,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
222,Xsara Picasso,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
